Test, Start_Pos, Nodes_Traversed, Time Elapsed
234, [24,25], 371, 18.363381000009213
235, [1,26], 396, 19.047948100018402
236, [2,26], 395, 18.850260699983664
237, [3,26], 394, 19.315506000012647
238, [4,26], 393, 18.897183200012478
239, [5,26], 400, 20.236125899992658
240, [6,26], 399, 19.518708600004175
241, [9,26], 402, 19.557289700014735
242, [10,26], 399, 19.55944680000175
243, [11,26], 400, 19.816804000018237
244, [12,26], 401, 19.8710349999983
245, [15,26], 409, 19.951582099973166
246, [16,26], 410, 22.738849699996535
247, [17,26], 411, 20.10533750000286
248, [18,26], 393, 19.0915105999984
249, [21,26], 394, 19.799362699991434
250, [22,26], 382, 18.312381599980654
251, [23,26], 373, 17.874757600011435
252, [24,26], 372, 18.26873539999997
253, [25,26], 373, 18.593866800008982
254, [26,26], 374, 17.947296300018934
255, [1,27], 397, 19.39189220001026
256, [12,27], 412, 19.984621300015533
257, [15,27], 408, 20.112091499996495
258, [26,27], 375, 18.95537030002015
259, [1,28], 398, 19.01058729998931
260, [12,28], 411, 19.943958099996053
261, [15,28], 407, 19.89433739996184
262, [26,28], 376, 18.220974900025794
263, [1,29], 399, 19.064199900008134
264, [2,29], 422, 20.260305500009054
265, [3,29], 421, 20.27295490002507
266, [4,29], 420, 20.26383300001362
267, [5,29], 419, 20.43992859995251
268, [6,29], 418, 20.11361459996806
269, [7,29], 417, 19.98773200002779
270, [8,29], 416, 20.11600589999034
271, [9,29], 415, 20.2545035000021
272, [10,29], 414, 20.837313199974233
273, [11,29], 413, 20.541470899981505
274, [12,29], 412, 19.86092590000044
275, [14,29], 409, 19.935273699977188
276, [15,29], 408, 19.942925199989986
277, [16,29], 397, 19.135504000005312
278, [17,29], 398, 19.259120500008066
279, [18,29], 399, 19.172148100014056
280, [19,29], 400, 19.749502799994843
281, [20,29], 401, 19.357038300017848
282, [21,29], 402, 19.467905499963308
283, [22,29], 403, 19.463166999976238
284, [23,29], 404, 19.69082420000086
285, [24,29], 405, 19.5842293000087
286, [25,29], 406, 20.504255699991518
287, [26,29], 407, 20.152025899971704
288, [13,29], 410, 20.273758099997394
